country,url,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12
Oman,https://www.countryflags.io/OM/shiny/64.png,,1.4,1.7,2.1,2.5,2.7,2.9,2.9,2.9,3.1,3.6,4,4.5,4.7,,4.9,4.9,4.9,4.9,4.9,,,4.9,4.9,4.9,4.9,4.9,,,,,,,,,,,,5.3,6.1,7.3,8.9,10.8
Peru,https://www.countryflags.io/PE/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,1,1.7
Poland,https://www.countryflags.io/PL/shiny/64.png,,1.3,1.3,2.4,3.7,4.2,5,5.3,5.3,5.4,6.8,8.2,9.8,10.8,11.5,12.1,12.4,13,14,15,16,16.9,17.3,17.4,18.5,20.7,22.7,24.3,25,25.3,25.8,26.4,27.8,29.5,30.9,31.5,31.7,31.9,,34.1,,37.3,38.2
Portugal,https://www.countryflags.io/PT/shiny/64.png,,,3.1,,,4.1,,6.9,,,,,,,10.4,,,,,,,,,,,22.1,,,,,26.3,26.5,,27,27.4,,27.9,28.5,28.6,28.6,28.8,29.7,30.5
Romania,https://www.countryflags.io/RO/shiny/64.png,0.6,0.7,0.7,1.3,2.2,3,4,4.8,5.3,5.6,6.5,7.3,8,8.7,9.5,10.2,10.6,12.1,13.9,15.7,17.6,19.5,21.1,22.5,23.9,25.4,26.7,27.8,28.8,29.7,30.4,31.1,31.7,32.2,32.7,33.2,33.7,34.1,34.4,34.7,34.9,35.1,
Russia,https://www.countryflags.io/RU/shiny/64.png,,5.5,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,,
Serbia,https://www.countryflags.io/RS/shiny/64.png,,,,,,,,1,,1.4,,,,2.7,,,,,,6.6,12.5,17.6,24,32,37.7,47,53.2,59,63.3,64.3,,,72.9,75.5,77.4,79.1,,80,,,87.1,93.5,
Singapore,https://www.countryflags.io/SG/shiny/64.png,,,,,,,,,,,0.6,1.1,,,,,,,,,,10.3,,,,,19.3,,,,26.5,,29.9,,,,,,,,42.7,,
Slovakia,https://www.countryflags.io/SK/shiny/64.png,,,,0,0.1,1.2,2.5,3.8,4.1,4.6,5.4,7.3,8.6,9.9,11.4,11.6,11.6,13.1,14.5,15.8,17,18.2,18.3,18.3,19.5,20.8,22,23.5,25.2,25.5,25.5,27.1,28.8,30.5,32.1,33.6,34,34,35.4,36.7,37.9,39.1,40.4
Slovenia,https://www.countryflags.io/SL/shiny/64.png,5.2,5.4,5.6,6.2,7.3,9.8,12.3,13.8,14,14,14.2,15.1,17.3,20.5,22.8,22.9,23,23,23.2,23.8,24.4,25,25.1,25.1,25.1,25.2,25.3,25.5,25.8,25.8,25.8,25.8,25.8,25.9,26.2,26.4,26.4,26.4,26.6,26.6,27.8,30.8,33.6
Spain,https://www.countryflags.io/SI/shiny/64.png,,,,1.8,3,,4.4,5.9,,,8.7,10.4,12.4,14.5,16.4,,,19.2,20.5,21.6,22.5,23.5,,24.6,25,25.3,25.7,26.1,,,26.8,26.8,27.1,27.4,27.9,,,28.2,28.4,28.7,29.5,30.4,
Sweden,https://www.countryflags.io/SE/shiny/64.png,,,1.4,,,,,,,4.7,,,,,,,11.7,,,,,,,21.6,,,,,,,27.5,,,,,28.4,,,,30.6,31.4,32.8,33.8
Turkey,https://www.countryflags.io/TR/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4
United Kingdom,https://www.countryflags.io/GB/shiny/64.png,,,20.3,,,,,,,33.7,35.8,38.9,43,47.7,52.4,56.5,59.8,62.8,67.9,73.3,79.3,86.3,93.6,96.8,101,105.5,110.1,116.2,123.4,132.2,136.9,142.1,147.6,154.5,161.6,168.9,177,181.1,186.3,192.4,199,206.4,
United States,https://www.countryflags.io/US/shiny/64.png,,12.6,,13.6,14.5,15.9,17.7,20,,,26.9,27.9,,29,31.7,,,,40.7,42.7,45,48.6,52,55.3,57.6,59.5,61.9,64.9,68.3,72,75.4,77.8,79.1,81.2,83.4,86.4,90.5,94.4,96.7,98.3,101,103.8,107.1
